index,No.,Road Name,"City, Post Code",POINT,lat,lng
0,30,ROUTE DE BALE,Colmar 68000,START-FINISH,48.0697249,7.3602374
1,2,BIBERACKER WEG,Colmar 68000,B1,48.06198,7.357395500000001
2,12,BIBERACKER WEG,Colmar 68000,B2,48.0608294,7.355295
3,30,BIBERACKER WEG,Colmar 68000,B3,48.0594152,7.354332599999999
4,4,CHEMIN DE LA LAUCH ,Colmar 68000,C1,48.0663966,7.358530799999999
5,6,CHEMIN DE LA LAUCH ,Colmar 68000,C2,48.0660647,7.358693599999999
6,3,CHEMIN DE LA SPECK,Colmar 68000,C3,48.0672453,7.3603282
7,9,CHEMIN DE LA SPECK,Colmar 68000,C4,48.0668065,7.3598822
8,28,CHEMIN DE LA SPECK,Colmar 68000,C5,48.0658179,7.3593527
9,33,CHEMIN DE LA SPECK,Colmar 68000,C6,48.0645865,7.3598745
10,50,CHEMIN DE LA SPECK,Colmar 68000,C7,48.0642513,7.3590287
11,52,CHEMIN DE LA SPECK,Colmar 68000,C8,48.0639568,7.3587625
12,61,CHEMIN DE LA SPECK,Colmar 68000,C9,48.0624015,7.357505
13,76,CHEMIN DE LA SPECK,Colmar 68000,C10,48.0630408,7.3578607
14,122,CHEMIN DE LA SPECK,Colmar 68000,C11a,48.06308869999999,7.3540799
15,32A,CHEMIN DE LA SPECK,Colmar 68000,C12,48.0656079,7.3585275
16,52A,CHEMIN DE LA SPECK,Colmar 68000,C12,48.0644564,7.3571326
17,52B,CHEMIN DE LA SPECK,Colmar 68000,C13,48.0641166,7.358092699999999
18,52D,CHEMIN DE LA SPECK,Colmar 68000,C14,48.0639568,7.3587625
19,10,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA1,48.0619542,7.359617399999999
20,14,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA2,48.0620081,7.358777900000001
21,19A,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA3,48.0620069,7.3569758
22,19B,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA4,48.0621336,7.3571272
23,2,CHEMIN INSELWEG,Colmar 68000,CB1,48.0618811,7.347439999999999
24,10,CHEMIN INSELWEG,Colmar 68000,CB2,48.0617838,7.347741999999999
25,7,CHEMIN LAUCHWERB,Colmar 68000,CL1,48.066295,7.357797700000001
26,17,CHEMIN LAUCHWERB,Colmar 68000,CL2,48.0632629,7.353793199999999
27,36,CHEMIN LAUCHWERB,Colmar 68000,CL3,48.0603412,7.3516353
28,40,CHEMIN LAUCHWERB,Colmar 68000,CL4,48.0601565,7.352399499999999
29,46,CHEMIN LAUCHWERB,Colmar 68000,CL5,48.0584977,7.3521771
30,57,CHEMIN LAUCHWERB,Colmar 68000,CL6,48.0636431,7.3539393
31,83,CHEMIN LAUCHWERB,Colmar 68000,CL7,48.06008019999999,7.352706299999999
32,83,CHEMIN LAUCHWERB,Colmar 68000,CL8,48.06008019999999,7.352706299999999
33,90,CHEMIN LAUCHWERB,Colmar 68000,CL9,48.058177,7.352372999999999
34,105,CHEMIN LAUCHWERB,Colmar 68000,CL10,48.0583932,7.352326100000001
35,4,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS1,48.0621758,7.3561662
36,6,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS2,48.0619315,7.3557234
37,8,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS3,48.06182560000001,7.3555537
38,11,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS4,48.0607576,7.3547622
39,22,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS5,48.0608154,7.3536009
40,27,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS6,48.0601347,7.353062700000001
41,12,CHEMIN UNTERER TRAENKWEG,Colmar 68000,CU1,48.0591196,7.349740799999998
42,22,CHEMIN UNTERER TRAENKWEG,Colmar 68000,CU2,48.0594773,7.347833100000001
43,7,RUE ARISTIDE BRIAND,Colmar 68000,A1,48.0671987,7.3537718
44,8,RUE ARISTIDE BRIAND,Colmar 68000,A2,48.0667736,7.3543253
45,21,RUE ARISTIDE BRIAND,Colmar 68000,A3,48.0675094,7.355607000000001
46,27,RUE ARISTIDE BRIAND,Colmar 68000,A4,48.06714059999999,7.3558906
47,1A,RUE ARISTIDE BRIAND,Colmar 68000,A5,48.0674088,7.352925399999999
48,11,RUE DES ANEMONES,Colmar 68000,DA1,48.063773,7.3567706
49,15,RUE DES ANEMONES,Colmar 68000,DA2,48.0638119,7.356164299999999
50,20,RUE DES ANEMONES,Colmar 68000,DA3,48.0641304,7.356057300000001
51,4,RUE DES AUNES,Colmar 68000,AU1,48.0652091,7.3501734
52,9,RUE DES AUNES,Colmar 68000,AU2,48.06457810000001,7.350294099999998
53,16,RUE DES AUNES,Colmar 68000,AU3,48.064158,7.3486443
