0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
0.0,1254.7,1511.4,1752.1,466.7,439.7,286.9,345.8,474.2,612.1,666.4,708.3,1261.2,1388.2,1536.2,478.8,832.9,761.2,708.3,1081.5,1144.4,1329.5,1311.5,1660.6,1664.5,1402.7,1623.9,1765.7,1727.2,1913.5,1555.1,1712.7,1712.7,1950.9,1926.6,1355.2,1397.0,1442.4,1539.9,1633.5,1682.2,2032.2,2038.5,1028.9,1083.7,1126.3,1200.8,961.8,896.8,954.3,960.6,1236.3,1285.9,1397.6,1450.3,1476.5,1400.4,1598.8,1699.4,1800.3,1327.0,1861.2,1540.8,1259.7,1315.0,1267.9,1392.6,1351.6,1360.2,1393.8,1430.7,1404.7,1374.9,1472.3,1977.2,1999.0,1969.1,1847.3,1953.9,1898.1,1310.9,1363.1,1406.5,1402.4,1327.6,1158.3,1294.4,1336.8,2168.4,2678.5,658.8,758.3,734.8,590.8,528.2
1254.7,0.0,305.8,546.5,651.6,624.6,1094.0,1153.0,539.6,401.8,347.5,351.7,55.6,182.6,330.6,535.1,476.3,404.6,351.7,173.2,110.2,124.0,105.9,1357.4,1353.4,1605.9,418.3,560.2,521.7,708.0,461.6,507.1,507.1,745.3,721.0,149.6,191.4,236.9,334.3,427.9,476.6,826.6,979.5,1232.0,1286.9,1439.6,1404.0,1165.0,405.7,463.2,469.5,1013.1,1062.7,1174.4,1227.1,1253.3,1177.2,1375.6,1469.0,1210.9,1103.8,1156.8,335.2,919.2,974.4,863.9,796.6,1011.1,1019.6,1053.2,1090.2,1064.2,1034.4,1131.8,1034.0,1012.2,1153.7,1163.9,1138.4,1113.1,864.5,711.2,667.7,671.8,746.7,199.6,139.4,141.2,1321.3,1486.3,440.4,539.9,516.4,775.7,713.1
1511.4,305.8,0.0,240.7,788.3,761.4,1350.7,1409.7,676.4,538.5,484.2,488.4,250.2,319.3,403.3,671.8,613.1,541.4,488.4,429.9,366.9,244.4,226.4,1051.5,1047.6,1742.6,491.0,254.3,215.8,402.1,534.2,201.3,201.3,439.5,415.2,156.2,114.4,94.0,28.5,122.1,170.8,520.8,673.7,1368.8,1423.7,1576.4,1540.8,1301.8,542.4,599.9,606.2,1149.9,1426.3,1314.5,1261.8,1235.6,1311.8,1473.4,1163.2,905.1,1385.1,850.9,124.4,1055.9,1111.2,1000.6,933.4,1147.8,1156.4,1189.9,1226.9,1200.9,1171.1,1268.5,728.2,706.4,847.8,858.1,832.6,807.3,1001.3,847.9,804.5,808.6,883.4,456.3,445.2,447.0,1015.5,1180.5,577.2,676.7,653.1,912.4,849.9
1752.1,546.5,240.7,0.0,1029.0,1002.1,1591.4,1650.4,917.1,779.2,724.9,729.1,490.9,560.0,644.0,912.5,853.8,782.1,729.1,670.6,607.7,485.2,467.1,1088.2,1084.2,1983.3,731.7,290.9,252.5,438.8,774.9,237.9,237.9,476.1,451.8,396.9,355.1,334.7,212.2,165.8,207.4,557.4,710.3,1609.5,1664.4,1817.1,1781.5,1542.5,783.1,840.6,846.9,1512.4,1462.9,1351.2,1298.4,1272.2,1348.4,1510.0,1199.8,941.7,1421.7,887.6,282.5,1296.6,1351.9,1241.3,1174.1,1388.5,1397.1,1430.7,1467.6,1441.6,1411.8,1509.2,764.8,743.0,884.5,894.7,869.2,843.9,1242.0,1088.6,1045.2,1049.3,1124.2,697.1,685.9,687.7,1052.1,1217.1,817.9,917.4,893.8,1153.1,1090.6
488.2,651.6,788.3,1029.0,0.0,26.9,179.8,120.8,111.9,249.8,304.1,346.0,596.0,469.0,813.1,116.5,470.6,398.9,346.0,1100.6,1163.6,606.4,588.4,1863.0,1867.0,1605.1,900.8,1042.6,1004.2,1190.5,858.5,989.6,989.6,1227.8,1203.5,632.1,673.9,719.3,816.8,910.4,959.1,1309.1,1462.0,1231.3,1286.2,1328.8,1403.3,1164.3,534.6,592.0,598.3,1438.8,1488.3,1600.0,1652.7,1679.0,1602.8,1801.3,1901.8,2002.8,1529.4,2063.6,817.7,1462.2,1517.4,1470.4,925.5,1554.1,1562.6,1596.2,1633.2,1607.1,1577.4,1674.8,1516.5,1494.7,2171.6,2049.8,2156.3,2100.6,993.4,840.1,796.6,800.7,875.6,1177.4,1313.5,792.8,2370.9,2880.9,296.6,396.1,372.5,124.1,61.6
515.1,624.6,761.4,1002.1,26.9,0.0,152.8,93.9,85.0,222.8,277.1,319.0,569.0,442.0,786.2,89.5,443.7,372.0,319.0,1073.6,1136.6,579.5,561.4,1890.0,1893.9,1632.1,873.9,1015.7,977.2,1163.5,831.5,962.6,962.6,1200.9,1176.5,605.1,647.0,692.4,789.9,883.5,932.2,1282.2,1435.0,1258.2,1313.1,1355.7,1430.2,1191.2,507.6,565.1,571.4,1465.7,1515.3,1627.0,1679.7,1705.9,1629.7,1828.2,1928.8,2029.7,1556.4,2090.6,790.8,1021.1,1076.3,965.8,898.6,1113.0,1121.6,1155.1,1192.1,1166.1,1136.3,1233.7,1489.6,1467.8,2198.5,2076.7,2183.3,2127.5,966.5,813.1,769.7,773.8,848.6,1150.4,1286.5,765.8,2397.8,2907.8,269.6,369.1,345.6,151.1,88.5
286.9,1094.0,1350.7,1591.4,179.8,152.8,0.0,58.9,187.3,325.2,379.5,421.4,1100.5,544.4,1375.5,191.9,546.0,474.3,421.4,920.8,983.8,1168.9,1150.8,1904.4,1908.3,1646.5,1463.2,1605.1,1566.6,1752.9,933.8,1552.0,1552.0,1790.2,1765.9,1194.5,1236.3,1281.8,1379.2,1472.8,1521.5,1871.5,2024.4,1272.7,1327.5,1370.1,1444.7,1205.6,610.0,667.4,673.7,1480.1,1529.7,1641.4,1694.1,1720.3,1644.2,1842.6,1943.2,2044.1,1570.8,2105.0,1380.1,1503.5,1558.8,1511.8,1000.9,1595.4,1604.0,1637.6,1674.5,1648.5,1618.7,1716.1,2079.0,2057.2,2198.6,2091.1,2183.3,2141.9,1554.7,915.5,872.0,876.1,951.0,997.6,1133.7,1176.2,2366.3,2922.3,372.0,471.5,447.9,303.9,241.3
345.8,1153.0,1409.7,1650.4,120.8,93.9,58.9,0.0,128.4,266.2,320.5,362.4,1159.4,485.5,1434.5,132.9,487.1,415.4,362.4,979.7,1042.7,1227.8,1209.7,1963.3,1967.3,1705.4,1522.2,1664.0,1625.5,1811.8,874.9,1610.9,1610.9,1849.2,1824.8,1253.4,1295.3,1340.7,1438.2,1531.7,1580.5,1930.5,2083.3,1331.6,1386.5,1429.1,1503.6,1264.6,551.0,608.5,614.8,1539.1,1588.6,1700.3,1753.0,1779.3,1703.1,1901.6,2002.1,2103.1,1629.7,2163.9,1439.1,1064.5,1119.8,1009.2,942.0,1156.4,1165.0,1198.5,1235.5,1209.5,1179.7,1277.1,2137.9,2116.1,2257.5,2150.1,2242.3,2200.9,1009.9,856.5,813.1,817.2,892.0,1056.6,1192.6,1235.1,2425.2,2981.2,313.0,412.5,389.0,245.0,182.4
474.2,539.6,676.4,917.1,111.9,85.0,187.3,128.4,0.0,137.8,192.1,234.0,484.0,357.0,701.2,4.5,358.7,287.0,234.0,1108.1,600.8,494.5,476.5,1454.3,1458.3,1717.1,788.9,930.7,892.2,1078.5,746.5,877.7,877.7,1115.9,1091.5,520.1,562.0,607.4,704.9,798.5,847.2,1197.2,1350.0,1343.2,1398.1,1440.7,1515.2,1276.2,422.6,480.1,486.4,1030.1,1079.6,1191.3,1244.0,1270.2,1194.1,1392.6,1493.1,1594.1,1120.7,1654.9,705.8,936.1,991.4,880.8,813.6,1028.0,1036.6,1070.1,1107.1,1081.1,1051.3,1148.7,1404.6,1382.8,1524.2,1641.1,1509.0,1691.9,881.5,728.1,684.7,688.8,763.6,690.2,679.0,680.8,1691.9,1856.8,184.6,284.1,260.6,236.1,173.5
612.1,401.8,538.5,779.2,249.8,222.8,325.2,266.2,137.8,0.0,54.3,96.2,346.2,219.2,563.3,133.3,220.8,149.1,96.2,525.9,462.9,356.7,338.6,1316.5,1320.4,1485.0,651.0,792.9,754.4,940.7,608.7,739.8,739.8,978.0,953.7,382.3,424.1,469.6,567.0,660.6,709.3,1059.3,1212.2,1111.1,1166.0,1318.7,1283.1,1044.1,284.8,342.2,348.5,892.2,941.8,1053.5,1106.2,1132.4,1056.2,1254.7,1355.3,1456.2,982.9,1517.1,567.9,798.3,853.5,743.0,675.7,890.2,898.7,932.3,969.3,943.2,913.5,1010.9,1266.8,1245.0,1386.4,1503.2,1371.1,1554.0,743.6,590.3,546.8,550.9,625.8,552.3,541.2,543.0,1554.1,1719.0,46.8,146.3,122.7,373.9,311.4
